web-scraper-order,web-scraper-start-url,months,months-href,title,date,venue
"1530567163-62","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Stellenbosch University Choir","23 September 2018","Venue: Stellenbosch University"
"1530567168-82","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Jive Cape Town Funny Festival","10 July 2018 to 6 August 2018","Venue: Baxter Theatre"
"1530567161-40","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Cape Holiday Show","26 to 28 October 2018","Venue: Sandringham Farm"
"1530567161-35","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Big 5 Comedy Show","13 October 2018","Venue: GrandWest Casino & Entertainment World"
"1530567161-33","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Rocking The Daisies 2018","5 to 7 October 2018","Venue: Cloof Wine Estate"
"1530567168-75","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","50 Shades of Fairytales","8 August 2018 to 30 September 2018","Venue: Alexander Bar & Theatre"
"1530567142-3","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","March 2019","https://www.whatsonincapetown.com/category/2019/events-in-march-2019/","Cape Town International Jazz Festival 2019","29 to 30 March 2019","Venue: CTICC"
"1530567163-65","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Absolut Movie Nights","27 September 2018","Venue: Shimmy Beach Club"
"1530567153-16","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","Aunty Merle, The Musical","3 December 2018 to 5 January 2019","Venue: Baxter Theatre"
"1530567161-36","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Big 5 Comedy Show","13 October 2018","Venue: GrandWest Casino and Entertainment World"
"1530567168-88","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Women’s Walk","4 August 2018","Venue: The Company’s Garden"
"1530567159-23","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","Cintron Pink Polo @ Val De Vie Estate","3 November 2018","Venue: Val De Vie Estate"
"1530567163-58","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Earthdance 2018","21 to 23 September 2018","Venue: Nekkies Resort"
"1530567159-20","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","Nic Bothma @ Chavonnes Battery Museum","2 March 2018 to 30 November 2018","Venue: Chavonnes Battery Museum"
"1530567134-1","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","May 2019","https://www.whatsonincapetown.com/category/2019/events-in-may-2019/","AfrikaBurn 2019","29 April 2019 to 5 May 2019","Venue: Tankwa Town, Karoo
 2019 details tbc"
"1530567168-93","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Blame It On Bianca Del Rio","10 August 2018","Venue: Artscape"
